step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.165775377536217,0,0.0,0.9366347135544266,0,0.0
10.0,0,0.0,0.0,13.14204881850281,0,0.0,0.9442305674939827,0,0.0
15.0,0,0.0,0.0,13.35636171819596,0,0.0,0.9464194275239832,0,0.0
20.0,0,0.0,0.0,13.260502185879316,0,0.0,0.9413451630874434,0,0.0
25.0,0,0.0,0.0,13.39800769460441,0,0.0,0.9320044634747621,0,0.0
30.0,0,0.0,0.0,13.155301060047767,0,0.0,0.9078976040088078,0,0.0
35.0,4,8.0,0.13559322033898305,11.76372821168471,4,8.0,0.8422790823094796,4,8.0
40.0,5,31.0,0.4696969696969697,11.47382063944627,5,31.0,0.8097356542933555,5,31.0
45.0,8,66.0,0.88,11.44149159365694,8,66.0,0.8006751137161776,8,66.0
50.0,8,106.0,1.308641975308642,10.982446676147845,8,106.0,0.7718685280325746,8,106.0
55.0,11,153.0,1.6813186813186813,10.802720572153188,11,153.0,0.752708669636966,11,153.0
60.0,15,215.0,2.216494845360825,10.301163315857254,15,215.0,0.7119449831837326,15,215.0
65.0,16,291.0,2.798076923076923,10.098660014329756,16,291.0,0.7042161742456751,16,291.0
70.0,18,376.0,3.4814814814814814,9.905061451706645,18,376.0,0.6777759020588819,18,376.0
75.0,21,475.0,4.20353982300885,9.545769582909877,21,475.0,0.6598904003524001,21,475.0
80.0,24,587.0,5.017094017094017,9.203777672699847,24,587.0,0.6244882218768976,24,587.0
85.0,25,712.0,5.884297520661157,9.32828385540389,25,712.0,0.6403734866745864,25,712.0
90.0,26,841.0,6.674603174603175,9.1633972472921,26,841.0,0.6276810344910664,26,841.0
95.0,29,980.0,7.480916030534351,9.038584247976711,29,980.0,0.6111651289471364,29,980.0
100.0,32,1135.0,8.533834586466165,8.633382234353942,32,1135.0,0.5724684647789614,32,1135.0
105.0,38,1310.0,9.562043795620438,8.249198684488254,38,1310.0,0.5427399201865284,38,1310.0
110.0,43,1517.0,10.683098591549296,8.073651041435753,43,1517.0,0.5065554154807121,43,1517.0
115.0,47,1744.0,12.11111111111111,7.849010034142397,47,1744.0,0.47594399962263173,47,1744.0
120.0,53,1997.0,13.313333333333333,7.51390570633204,53,1997.0,0.4560567621421753,53,1997.0
125.0,58,2281.0,14.908496732026144,7.426624065734332,58,2281.0,0.4384053966094068,58,2281.0
130.0,59,2573.0,16.08125,7.363924055920475,59,2573.0,0.44504179746381733,59,2573.0
135.0,63,2880.0,17.66871165644172,7.229364552446053,63,2880.0,0.43878135601969215,63,2880.0
140.0,67,3206.0,19.197604790419163,6.969651496666552,67,3206.0,0.38694602383798693,67,3206.0
145.0,72,3555.0,21.2874251497006,6.757349735587637,72,3555.0,0.3697671485903534,72,3555.0
150.0,76,3931.0,22.8546511627907,6.842225799794598,76,3931.0,0.3692825209876217,76,3931.0
155.0,76,4311.0,24.634285714285713,6.754676264319078,76,4311.0,0.3613940208090675,76,4311.0
160.0,77,4695.0,26.22905027932961,6.930090218726722,77,4695.0,0.381564445188889,77,4695.0
165.0,79,5084.0,28.244444444444444,6.898971739243204,79,5084.0,0.38224127895027726,79,5084.0
170.0,83,5487.0,29.5,6.696585631340631,83,5487.0,0.3663741152272301,83,5487.0
175.0,86,5912.0,31.4468085106383,6.590886541284037,86,5912.0,0.3594361599328992,86,5912.0
180.0,90,6350.0,34.51086956521739,6.075236382114,90,6350.0,0.3304579203409784,90,6350.0
185.0,96,6817.0,37.04891304347826,5.852276522659337,96,6817.0,0.3145126152722144,96,6817.0
190.0,100,7308.0,38.87234042553192,5.738484440070117,100,7308.0,0.30577409446631476,100,7308.0
195.0,101,7809.0,41.1,5.761749715729029,101,7809.0,0.3162332871436102,101,7809.0
200.0,105,8320.0,42.666666666666664,5.509291395544209,105,8320.0,0.3097157174253606,105,8320.0
205.0,109,8860.0,44.3,5.449145134572418,109,8860.0,0.30171674707967516,109,8860.0
210.0,111,9413.0,46.830845771144276,5.293319274268467,111,9413.0,0.2972675198474839,111,9413.0
215.0,115,9981.0,48.68780487804878,5.357598563306754,115,9981.0,0.28258663070256346,115,9981.0
220.0,118,10564.0,50.304761904761904,5.018402442138252,118,10564.0,0.2618285025434425,118,10564.0
225.0,124,11179.0,52.48356807511737,4.973030678270063,124,11179.0,0.2592087285635352,124,11179.0
230.0,126,11804.0,54.648148148148145,5.0760083684716095,126,11804.0,0.26333235613492834,126,11804.0
235.0,130,12443.0,56.55909090909091,4.897111866089926,130,12443.0,0.25508522747284673,130,12443.0
240.0,132,13100.0,58.482142857142854,4.860352518375661,132,13100.0,0.24705385336387684,132,13100.0
245.0,137,13777.0,60.96017699115044,4.716800026413252,137,13777.0,0.23247117498366113,137,13777.0
250.0,142,14478.0,62.675324675324674,4.496256129730507,142,14478.0,0.22757053469368765,142,14478.0
255.0,145,15200.0,65.80086580086581,4.4205176919392875,145,15200.0,0.22483344061245095,145,15200.0
260.0,151,15945.0,67.27848101265823,4.44319682257394,151,15941.0,0.22696429978704535,151,15941.0
265.0,152,16699.0,69.00413223140495,4.455671019484324,152,16697.0,0.23721457923923375,152,16697.0
270.0,158,17476.0,70.75303643724696,4.386458297244138,158,17474.0,0.22672819636812275,158,17474.0
275.0,161,18280.0,73.70967741935483,4.295593353896036,161,18278.0,0.22472307165908864,161,18278.0
280.0,163,19090.0,76.36,4.039911167503239,163,19088.0,0.2140150856066274,163,19088.0
