step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.310243805375839,0,0.0,0.9275053133247392,0,0.0
10.0,0,0.0,0.0,12.763877025566119,0,0.0,0.9421440836452785,0,0.0
15.0,0,0.0,0.0,12.677796663779864,0,0.0,0.9355099991054783,0,0.0
20.0,0,0.0,0.0,13.204582287524143,0,0.0,0.9339030751068695,0,0.0
25.0,0,0.0,0.0,13.015090040386468,0,0.0,0.9078561586250884,0,0.0
30.0,1,5.0,0.09803921568627451,12.117986854098767,1,5.0,0.8508084486513819,1,5.0
35.0,4,20.0,0.3389830508474576,11.23686554031269,4,20.0,0.8072673357439037,4,20.0
40.0,8,53.0,0.803030303030303,10.288641828214757,8,53.0,0.7541754815098569,8,53.0
45.0,10,99.0,1.32,10.058624316023247,10,99.0,0.7397076819814732,10,99.0
50.0,18,165.0,2.037037037037037,8.681962734209483,18,165.0,0.6208740064301594,18,165.0
55.0,27,282.0,3.098901098901099,8.163431006791566,27,282.0,0.5777744673832531,27,282.0
60.0,34,433.0,4.463917525773196,7.954772242950623,34,433.0,0.5378471210461055,34,433.0
65.0,39,616.0,5.811320754716981,7.808877504201662,39,616.0,0.522326104440367,39,616.0
70.0,43,820.0,7.192982456140351,7.244736383866623,43,820.0,0.4928944930575897,43,820.0
75.0,52,1061.0,8.626016260162602,6.686516815901341,52,1061.0,0.460827060158575,52,1061.0
80.0,51,1107.0,8.515384615384615,6.25968263559991,51,1199.0,0.41933840471842143,51,1199.0
85.0,57,1364.0,9.956204379562044,6.605516184213862,57,1381.0,0.43922016288404037,57,1381.0
90.0,43,662.0,4.56551724137931,6.795645412945912,43,1262.0,0.42667904115129734,43,1262.0
95.0,21,137.0,0.9072847682119205,8.516698514730699,21,827.0,0.5173880474189856,21,827.0
100.0,19,132.0,0.8354430379746836,8.515966082783377,19,878.0,0.4947504696311163,19,878.0
105.0,40,281.0,1.7030303030303031,7.9467392054471775,40,1012.0,0.4441972264344391,40,1012.0
110.0,54,378.0,2.223529411764706,7.526762139714297,54,1182.0,0.41639410193091825,54,1182.0
115.0,63,629.0,3.7218934911242605,7.001707820314888,63,1388.0,0.39068972665720314,63,1388.0
120.0,67,904.0,5.22543352601156,6.600474372823621,67,1676.0,0.3870563014912014,67,1676.0
125.0,69,1223.0,6.948863636363637,6.502922277528793,69,1974.0,0.3646223156644508,69,1974.0
130.0,57,936.0,5.229050279329609,6.75231836117202,57,1870.0,0.39994555150465005,57,1870.0
135.0,35,356.0,1.913978494623656,7.950606450646196,35,1309.0,0.45210271900214694,35,1309.0
140.0,19,169.0,0.8894736842105263,8.283968861362851,19,1283.0,0.4724034661828658,19,1283.0
145.0,36,280.0,1.450777202072539,7.919322691233857,36,1400.0,0.43086050342825893,36,1400.0
150.0,58,527.0,2.7447916666666665,7.728318643446772,58,1626.0,0.4119369718021116,58,1626.0
155.0,50,558.0,2.8469387755102042,7.782713079778584,50,1569.0,0.42051198500719283,50,1569.0
160.0,31,420.0,2.1319796954314723,8.257310564773501,31,1103.0,0.45174853922991276,31,1103.0
165.0,26,429.0,2.1666666666666665,8.241881686715496,26,1149.0,0.4642658279054717,26,1149.0
170.0,43,582.0,2.9846153846153847,7.70432582901275,42,1297.0,0.4337203920484183,42,1297.0
175.0,56,455.0,2.3575129533678756,7.2095431450448695,56,1386.0,0.3942026790853574,56,1386.0
180.0,64,593.0,3.0725388601036268,7.004997293221837,64,1550.0,0.37020598423549705,64,1550.0
185.0,57,527.0,2.7025641025641027,6.959721981036917,57,1532.0,0.37825346427361894,57,1532.0
190.0,35,291.0,1.5,8.170632648015085,35,1085.0,0.458476705548101,35,1085.0
195.0,31,210.0,1.0824742268041236,7.900421940073296,31,1169.0,0.42701905553637615,31,1169.0
200.0,46,309.0,1.5765306122448979,7.622286553244332,46,1301.0,0.40365952979922637,46,1301.0
205.0,63,572.0,2.888888888888889,7.479900828954056,63,1512.0,0.3821637985198466,63,1512.0
210.0,75,920.0,4.67005076142132,7.375552637895996,75,1841.0,0.3893645644211346,75,1841.0
215.0,62,908.0,4.6091370558375635,7.065771642313371,62,1900.0,0.37379629156640765,62,1900.0
220.0,42,735.0,3.75,7.820873810400068,42,1602.0,0.4383986761233388,42,1602.0
225.0,33,731.0,3.7487179487179487,7.6360600000880785,33,1727.0,0.42614613226475906,33,1727.0
230.0,50,917.0,4.751295336787565,7.223245726206277,49,1911.0,0.41161632801505343,49,1911.0
235.0,69,1219.0,6.187817258883249,6.497669522253592,69,2207.0,0.36299060485636675,69,2207.0
240.0,75,1161.0,5.893401015228426,6.213504011114317,75,2309.0,0.34288597286412775,75,2309.0
245.0,82,1057.0,5.285,6.087448575204611,82,2278.0,0.3045989181637802,82,2278.0
250.0,66,748.0,3.7777777777777777,6.102640521219727,66,2335.0,0.34057089601538443,66,2335.0
255.0,44,513.0,2.61734693877551,7.061563016067641,44,1922.0,0.3980601121474397,44,1922.0
260.0,37,232.0,1.1717171717171717,6.942832327597152,37,2033.0,0.40280900967425615,37,2033.0
265.0,49,307.0,1.5049019607843137,7.043976246643503,49,2129.0,0.39470428627558146,49,2129.0
270.0,64,591.0,2.8413461538461537,6.886034417804611,64,2390.0,0.3857321416923634,64,2390.0
275.0,75,784.0,3.751196172248804,6.399854169847439,75,2548.0,0.33976756974635963,75,2548.0
280.0,82,991.0,4.630841121495327,6.5419751891653055,82,2569.0,0.33676513221214854,82,2569.0
285.0,66,761.0,3.5395348837209304,6.485825602989752,66,2507.0,0.3510638829687131,66,2507.0
290.0,44,488.0,2.228310502283105,7.8447389275615125,44,2001.0,0.44062722316672204,44,2001.0
295.0,36,283.0,1.3224299065420562,7.766514641494345,36,2113.0,0.422624977578684,36,2113.0
300.0,46,261.0,1.219626168224299,7.28464428830055,46,2249.0,0.3726716560963278,46,2249.0
305.0,62,434.0,2.009259259259259,7.0475234539654386,62,2343.0,0.35018813059942394,62,2343.0
310.0,68,620.0,2.857142857142857,6.5241590788346215,68,2348.0,0.32055417234459954,68,2348.0
315.0,75,843.0,3.81447963800905,6.169561559389482,75,2620.0,0.30447655313940897,75,2620.0
320.0,88,1246.0,5.638009049773756,6.156186728569466,88,3009.0,0.3164203204295412,88,3009.0
325.0,98,1714.0,7.82648401826484,5.84883045693887,98,3452.0,0.2986515983287145,98,3452.0
330.0,105,2151.0,9.602678571428571,5.919714707029544,105,3830.0,0.29798465081312653,105,3830.0
335.0,101,2586.0,11.493333333333334,5.920962475873821,101,4137.0,0.3124488219539356,101,4137.0
340.0,101,3035.0,13.549107142857142,5.8349889311663,101,4586.0,0.3022107573279651,101,4586.0
345.0,109,3561.0,15.826666666666666,5.733158184392823,109,5086.0,0.29196027906968075,109,5086.0
350.0,114,4085.0,17.995594713656388,5.289386026494214,114,5586.0,0.27101899074628244,114,5586.0
355.0,121,4651.0,20.48898678414097,5.174610440616648,121,6078.0,0.2652839352148488,121,6078.0
360.0,125,5225.0,22.521551724137932,4.808978825008119,125,6676.0,0.2430385570163211,125,6676.0
365.0,136,5861.0,25.372294372294373,4.4780009065702435,135,7301.0,0.22636485605023782,135,7301.0
370.0,141,6507.0,27.68936170212766,4.4221997461773634,140,7934.0,0.22455280642864794,140,7934.0
