step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.616837205867624,0,0.0,0.9002196738837434,0,0.0
10.0,0,0.0,0.0,13.532409009059474,0,0.0,0.9281104429394169,0,0.0
15.0,0,0.0,0.0,13.857413865352171,0,0.0,0.9534070872938176,0,0.0
20.0,0,0.0,0.0,13.618135494469394,0,0.0,0.9460589707692614,0,0.0
25.0,0,0.0,0.0,13.415549709147227,0,0.0,0.9255084721261929,0,0.0
30.0,1,4.0,0.0784313725490196,13.411016732375574,1,4.0,0.9298106815040641,1,4.0
35.0,1,1.0,0.01694915254237288,12.77093722101142,1,1.0,0.9040415654862592,1,1.0
40.0,1,6.0,0.09090909090909091,12.50070861057898,1,6.0,0.8719637147592625,1,6.0
45.0,8,28.0,0.37333333333333335,10.893669571847118,8,28.0,0.7565490453361432,8,28.0
50.0,16,89.0,1.1265822784810127,9.575591549777696,16,89.0,0.6852704651352015,16,89.0
55.0,22,187.0,2.101123595505618,9.000345239102678,22,187.0,0.6210253786724177,22,187.0
60.0,23,231.0,2.431578947368421,8.36587544059266,23,252.0,0.5986468381246263,23,252.0
65.0,29,353.0,3.4271844660194173,7.9880838374430185,29,364.0,0.5571448086261164,29,364.0
70.0,36,519.0,4.675675675675675,8.205938930592673,36,519.0,0.5511723933537507,36,519.0
75.0,37,703.0,5.858333333333333,8.223748420968285,37,703.0,0.5279644365540285,37,703.0
80.0,42,868.0,6.944,7.718688533249621,42,870.0,0.48941645479871465,42,870.0
85.0,49,1100.0,8.333333333333334,7.904190139822657,49,1100.0,0.48851151193380116,49,1100.0
90.0,32,450.0,3.3333333333333335,7.485583149983576,32,967.0,0.4979434358724474,32,967.0
95.0,11,82.0,0.5857142857142857,8.997734048312388,11,486.0,0.6127656486131131,11,486.0
100.0,9,86.0,0.5972222222222222,9.812231651369327,9,213.0,0.6814424616249641,9,213.0
105.0,10,133.0,0.8807947019867549,10.128577207248417,10,172.0,0.6951148867636514,10,172.0
110.0,15,203.0,1.2767295597484276,10.22149655261767,15,213.0,0.695196710989063,15,213.0
115.0,19,292.0,1.7914110429447854,10.11592516288668,19,292.0,0.6594382391176112,19,292.0
120.0,24,400.0,2.366863905325444,9.925616834662081,24,400.0,0.6259076810902081,24,400.0
125.0,26,525.0,3.143712574850299,9.732481022686438,26,525.0,0.607808631025362,26,525.0
130.0,28,658.0,3.963855421686747,9.264679650877381,28,658.0,0.5790069527493824,28,658.0
135.0,32,813.0,4.868263473053892,9.12914034209922,32,813.0,0.591920412628593,32,813.0
140.0,33,977.0,5.850299401197605,8.768802806784946,33,977.0,0.5806787769880097,33,977.0
145.0,39,1159.0,7.382165605095541,8.418366110780058,39,1159.0,0.5410582835016295,39,1159.0
150.0,43,1369.0,8.775641025641026,8.353025147799372,43,1369.0,0.5257260660251251,43,1369.0
155.0,32,956.0,6.416107382550336,8.161082575434133,32,1273.0,0.5395662178393381,32,1273.0
160.0,30,783.0,5.051612903225807,8.653405668679579,29,1169.0,0.5694090098402427,29,1169.0
165.0,29,792.0,5.176470588235294,8.200495040911832,29,1235.0,0.5360363571879003,29,1235.0
170.0,33,913.0,5.70625,8.107657927244158,33,1393.0,0.4957798191762645,33,1393.0
175.0,36,1019.0,6.290123456790123,7.815574351966834,36,1450.0,0.4855114283600731,36,1450.0
180.0,35,1138.0,6.855421686746988,7.75641878011463,35,1411.0,0.4676801143068181,35,1411.0
185.0,44,1319.0,7.758823529411765,7.781298638022802,44,1506.0,0.4667707393832924,44,1506.0
190.0,46,1525.0,8.815028901734104,7.46226644239401,45,1658.0,0.44970492193574874,45,1658.0
195.0,43,970.0,5.542857142857143,7.753404468224326,43,1591.0,0.47291859522281876,43,1591.0
200.0,36,590.0,3.3333333333333335,7.87534845349415,36,1302.0,0.503956563579143,36,1302.0
205.0,37,544.0,3.090909090909091,7.3401184637030665,37,1365.0,0.4651453145042341,37,1365.0
210.0,49,733.0,4.094972067039106,7.026129908129896,49,1527.0,0.42112316435325353,49,1527.0
215.0,60,990.0,5.593220338983051,6.703043531611929,60,1762.0,0.407403868956142,60,1762.0
220.0,65,1294.0,7.269662921348314,6.540753286928199,65,2045.0,0.3990869949138271,65,2045.0
225.0,75,1648.0,9.054945054945055,5.978108774555174,73,2390.0,0.3694561539942095,73,2390.0
230.0,85,2039.0,10.96236559139785,5.644067746818109,85,2780.0,0.3355302166454062,85,2780.0
235.0,73,1372.0,7.145833333333333,5.925892567067552,73,2751.0,0.3416991984535054,73,2751.0
240.0,46,862.0,4.420512820512821,7.087758781780138,46,2299.0,0.4066989264258109,46,2299.0
245.0,43,912.0,4.653061224489796,7.1413699775760495,43,2441.0,0.3963784480108866,43,2441.0
250.0,63,1150.0,5.609756097560975,6.760856327794214,63,2681.0,0.355540272161812,63,2681.0
255.0,61,1299.0,6.305825242718447,6.741793820500632,61,2739.0,0.3705263433182666,61,2739.0
260.0,45,1386.0,6.6,7.3686448042011286,45,2503.0,0.39021831390867545,45,2503.0
265.0,52,1559.0,7.423809523809524,6.966021146668453,52,2710.0,0.37621193273134734,52,2710.0
270.0,68,1804.0,8.469483568075118,6.611906912222578,68,2939.0,0.32953004853484025,68,2939.0
275.0,82,2168.0,10.274881516587678,6.399833693999476,82,3285.0,0.3114417338768514,82,3285.0
280.0,84,1954.0,9.046296296296296,6.303608428767344,84,3337.0,0.3220081086384151,84,3337.0
285.0,81,1640.0,7.557603686635945,6.320209974267958,81,2992.0,0.32745354768892976,81,2992.0
290.0,80,1469.0,6.738532110091743,6.243830551885749,80,3361.0,0.33525826209539394,80,3361.0
295.0,78,1520.0,7.037037037037037,6.117064329549887,78,3691.0,0.3250373663317912,78,3691.0
300.0,80,1808.0,8.409302325581395,5.880145923197024,80,3850.0,0.31403585563707037,80,3850.0
305.0,87,2186.0,10.360189573459715,5.622795651744405,87,3745.0,0.3003798883467241,87,3745.0
310.0,91,2600.0,12.149532710280374,5.794751620694829,91,3833.0,0.31866331901318473,91,3833.0
315.0,95,3055.0,14.078341013824884,5.761899941789037,95,3934.0,0.3220510963436331,95,3934.0
320.0,104,3553.0,16.22374429223744,5.802391958837082,104,4174.0,0.33308236451009876,104,4174.0
325.0,90,2808.0,12.64864864864865,5.749312196232079,90,4119.0,0.3345070108974265,90,4119.0
330.0,66,1369.0,6.057522123893805,6.509098260222777,66,3298.0,0.35429505054831156,66,3298.0
335.0,49,624.0,2.689655172413793,6.603336743190776,49,3395.0,0.34345709683304815,49,3395.0
340.0,58,440.0,1.8410041841004183,6.64346503067827,57,3576.0,0.34027468080200307,57,3576.0
345.0,56,424.0,1.7377049180327868,6.663873082078759,56,3400.0,0.31644728117024773,56,3400.0
350.0,47,454.0,1.8015873015873016,7.25635936486631,47,2593.0,0.3343380508457384,47,2593.0
355.0,48,601.0,2.3661417322834644,7.719290878899171,48,2094.0,0.3699924389258954,48,2094.0
360.0,48,803.0,3.1865079365079363,8.265189802790566,48,1920.0,0.42055321644697297,48,1920.0
365.0,54,1052.0,4.141732283464567,8.436453104688704,54,1905.0,0.42880553383270054,54,1905.0
370.0,55,1327.0,5.286852589641434,8.556311654763148,55,2047.0,0.44660871129772683,55,2047.0
375.0,50,1318.0,5.3795918367346935,8.269342939062788,50,2151.0,0.419525500489826,50,2151.0
380.0,58,1362.0,5.628099173553719,7.995884748617542,58,2226.0,0.38690437230363184,58,2226.0
385.0,47,1408.0,6.068965517241379,7.770403122332982,47,2406.0,0.4084556129300014,47,2406.0
390.0,46,1497.0,6.623893805309734,8.164175022747452,46,2487.0,0.4216549841543497,46,2487.0
395.0,48,1652.0,7.375,8.101397825130789,48,2673.0,0.4082115601230043,48,2673.0
400.0,47,1774.0,8.100456621004566,7.721820225527137,47,2753.0,0.39766722640540636,47,2753.0
405.0,56,1968.0,9.371428571428572,7.416407908540079,56,2756.0,0.3879034380146633,56,2756.0
410.0,60,2214.0,10.8,7.555638608727427,60,2908.0,0.40313049791446937,60,2908.0
415.0,65,2487.0,12.435,7.200572696162458,65,3109.0,0.39648336754677055,65,3109.0
420.0,70,2801.0,14.364102564102565,6.79655999698604,70,3358.0,0.38469203329103374,70,3358.0
425.0,73,3132.0,16.397905759162303,6.518327619532989,73,3622.0,0.37584627960353306,73,3622.0
430.0,79,3496.0,18.497354497354497,6.104866670525399,79,3883.0,0.3768141321744667,79,3883.0
435.0,83,3900.0,20.418848167539267,5.950087920714862,83,4244.0,0.35894993974738487,83,4244.0
440.0,71,3610.0,18.704663212435232,5.953226064484937,71,4346.0,0.35306903749007457,71,4346.0
445.0,56,3570.0,18.03030303030303,7.120011627753334,56,4207.0,0.41476569057674756,56,4207.0
450.0,61,3700.0,18.592964824120603,6.813520966604699,61,4433.0,0.3798403879839232,61,4433.0
455.0,76,3960.0,19.603960396039604,6.489648226252412,76,4752.0,0.35289766480645335,76,4752.0
460.0,67,4149.0,20.438423645320196,6.157228231197576,67,4959.0,0.3435286868498445,67,4959.0
465.0,58,4348.0,20.903846153846153,6.571504489231525,58,4994.0,0.3567498098893307,58,4994.0
470.0,63,3433.0,16.504807692307693,6.480062865894995,63,4786.0,0.3483894654951456,63,4786.0
475.0,66,2210.0,10.424528301886792,6.341094012958144,66,4003.0,0.33095584231748176,66,4003.0
480.0,74,1602.0,7.416666666666667,6.306883920015901,74,3576.0,0.34087510458263215,74,3576.0
485.0,57,954.0,4.336363636363636,6.612991276913092,57,3748.0,0.36545786038888745,57,3748.0
490.0,47,665.0,3.022727272727273,7.580465853711036,47,3670.0,0.4103436231163989,47,3670.0
495.0,46,705.0,3.175675675675676,7.895748551335421,46,3797.0,0.4223967102659013,46,3797.0
500.0,48,841.0,3.7713004484304933,7.989007433927418,48,3723.0,0.4257846814951121,48,3723.0
505.0,55,1006.0,4.552036199095022,7.793236145218965,55,3260.0,0.3953810128644169,55,3260.0
510.0,50,1113.0,5.036199095022624,7.5595045412070405,50,3434.0,0.393782212697255,50,3434.0
515.0,57,1296.0,5.890909090909091,7.749509348679416,57,3600.0,0.3698536317533421,57,3600.0
520.0,56,1480.0,6.757990867579909,7.641747678040828,56,3608.0,0.3857893672650083,56,3608.0
525.0,57,1694.0,7.806451612903226,7.188877685150997,57,3367.0,0.3604989923209936,57,3367.0
530.0,63,1977.0,9.027397260273972,7.031527756144687,63,3073.0,0.3493991024934218,63,3073.0
535.0,73,2315.0,10.619266055045872,6.781392587085429,73,3123.0,0.35508467608935457,73,3123.0
540.0,82,2703.0,12.456221198156681,6.475210094901179,82,3242.0,0.35040568800477245,82,3242.0
545.0,70,2805.0,13.046511627906977,6.577137702181069,70,3416.0,0.3800339772888728,70,3416.0
550.0,71,3044.0,14.027649769585253,6.901483093188782,71,3559.0,0.3703293240734627,71,3559.0
555.0,64,2322.0,10.700460829493087,6.810038529133273,64,3440.0,0.3682076326346209,64,3440.0
560.0,65,1559.0,7.0542986425339365,6.9876867856749545,63,3305.0,0.37570476344143305,63,3305.0
565.0,53,1089.0,4.861607142857143,6.997142083746211,53,3401.0,0.37224067822280493,53,3401.0
570.0,60,906.0,4.008849557522124,6.872413315890331,60,3507.0,0.35283567379596925,60,3507.0
575.0,52,613.0,2.6768558951965065,6.948685125246687,52,3637.0,0.36697185714354613,52,3637.0
580.0,55,548.0,2.341880341880342,7.709188553603554,55,3670.0,0.3891417561367962,55,3670.0
585.0,63,625.0,2.6595744680851063,7.369793990297668,63,3832.0,0.35219082428025716,63,3832.0
590.0,63,789.0,3.3151260504201683,7.306989401212732,63,4006.0,0.34509447367792373,63,4006.0
595.0,56,950.0,3.9748953974895396,7.340865397578698,56,4200.0,0.3615108381479761,56,4200.0
600.0,68,1223.0,5.117154811715481,7.484846983398139,68,4396.0,0.32724611850347046,68,4396.0
605.0,77,1575.0,6.6455696202531644,7.4687843048995095,77,4682.0,0.31717476127128436,77,4682.0
610.0,83,1974.0,8.364406779661017,7.329281525152143,83,4983.0,0.3093033170866206,83,4983.0
615.0,87,2406.0,10.194915254237289,7.297932993799548,87,5369.0,0.3200035435708373,87,5369.0
620.0,90,2852.0,12.033755274261603,7.1324320573132285,90,5786.0,0.3167882365402688,90,5786.0
625.0,92,3310.0,14.267241379310345,6.962465355039675,92,6226.0,0.3144069442922952,92,6226.0
630.0,98,3791.0,17.153846153846153,6.722978280785357,98,6699.0,0.3036022526063044,98,6699.0
635.0,102,4293.0,19.602739726027398,6.378990174841222,102,7200.0,0.29235558434472114,102,7200.0
640.0,102,4803.0,22.549295774647888,6.287453343644523,102,7710.0,0.28526428971149725,102,7710.0
645.0,108,5331.0,24.680555555555557,6.234526222569054,108,8238.0,0.28657979519504045,108,8238.0
650.0,97,4822.0,22.53271028037383,6.220787579038243,97,8099.0,0.3116716862055966,97,8099.0
655.0,87,4053.0,18.939252336448597,6.301518676997327,86,7586.0,0.30835369512977706,86,7586.0
660.0,82,3504.0,16.22222222222222,6.592204892920214,82,7150.0,0.3286379627644455,82,7150.0
665.0,77,3138.0,14.199095022624434,6.959587493152889,77,6467.0,0.3428501361677898,77,6467.0
670.0,70,2626.0,11.882352941176471,6.943919344134831,70,6501.0,0.34359575830151545,70,6501.0
675.0,72,1988.0,9.077625570776256,6.590527455678234,72,6389.0,0.32570482952344443,72,6389.0
680.0,73,1561.0,7.0,6.262860285096808,73,6332.0,0.29854002644291755,73,6332.0
685.0,63,1366.0,6.04424778761062,6.313648884810757,63,5817.0,0.2971706382157465,63,5817.0
690.0,68,1277.0,5.600877192982456,6.378891467655489,68,5339.0,0.30637545124520854,68,5339.0
695.0,73,1366.0,6.04424778761062,6.2485579667446425,73,5202.0,0.30488741903818056,73,5202.0
700.0,78,1659.0,7.439461883408072,6.509029349385522,78,5189.0,0.3380776228498172,78,5189.0
705.0,81,2051.0,9.075221238938052,6.346641892992566,81,5308.0,0.32685240582788344,81,5308.0
710.0,89,2478.0,10.964601769911505,6.113012575029907,89,5577.0,0.3093963249002305,89,5577.0
715.0,72,1678.0,7.264069264069264,6.230642586733993,72,5535.0,0.3278814584845634,72,5535.0
720.0,50,999.0,4.343478260869565,6.882606688894762,50,5013.0,0.3531828757273137,50,5013.0
725.0,44,1096.0,4.849557522123894,7.664448919644992,44,4552.0,0.42396364738730313,44,4552.0
730.0,50,1328.0,5.824561403508772,7.9244714669502265,50,4531.0,0.42257240857406153,50,4531.0
735.0,56,1598.0,6.947826086956522,7.903458728337548,56,4715.0,0.4109774182825373,56,4715.0
740.0,62,1899.0,8.012658227848101,7.996408750392644,62,4997.0,0.38948382352391375,62,4997.0
745.0,70,2231.0,9.295833333333333,7.731321268905015,70,5329.0,0.3763088159569087,70,5329.0
750.0,74,2595.0,10.995762711864407,7.547386275200802,74,5693.0,0.38571933347038095,74,5693.0
755.0,73,2443.0,10.714912280701755,6.738159453889448,73,5704.0,0.33342857657255726,73,5704.0
760.0,80,2144.0,9.745454545454546,6.612922330966817,80,5244.0,0.3354895791650947,80,5244.0
765.0,70,1858.0,8.522935779816514,6.419006925997614,70,5580.0,0.3529320198020518,70,5580.0
770.0,72,1796.0,8.238532110091743,6.653100203620581,72,5914.0,0.3403049896641536,72,5914.0
775.0,67,1487.0,6.821100917431193,6.514847516654541,67,5937.0,0.35259118173502235,67,5937.0
780.0,69,1275.0,5.957943925233645,6.343549288728632,69,5875.0,0.35064726806319396,69,5875.0
785.0,70,1227.0,5.787735849056604,6.329283719595383,70,5905.0,0.34492349863322624,70,5905.0
790.0,78,1254.0,5.805555555555555,5.97676848955727,78,5645.0,0.31751326988840967,78,5645.0
795.0,73,1293.0,5.824324324324325,6.013020039811426,73,5792.0,0.3280055202719548,73,5792.0
800.0,64,1184.0,5.309417040358745,6.085901884521602,64,5643.0,0.3151094846668146,64,5643.0
805.0,67,1215.0,5.352422907488987,5.9869510668945765,67,5711.0,0.31989435325033344,67,5711.0
