step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.841757251524518,0,0.0,0.9537103053292348,0,0.0
10.0,0,0.0,0.0,13.5013105860213,0,0.0,0.9569940180262945,0,0.0
15.0,0,0.0,0.0,12.857923415589452,0,0.0,0.9249676680080511,0,0.0
20.0,0,0.0,0.0,12.698127523386134,0,0.0,0.9284263133225803,0,0.0
25.0,0,0.0,0.0,12.974055922603204,0,0.0,0.9094029384916233,0,0.0
30.0,2,5.0,0.09803921568627451,11.523405579773403,2,5.0,0.8424659411818476,2,5.0
35.0,3,7.0,0.11864406779661017,10.989383172879863,3,7.0,0.8185066578117987,3,7.0
40.0,7,34.0,0.5151515151515151,10.953727613013283,7,34.0,0.7635494625044666,7,34.0
45.0,1,1.0,0.013333333333333334,11.356925443657376,1,13.0,0.807710378796058,1,13.0
50.0,2,9.0,0.1111111111111111,12.150798742518127,2,9.0,0.8329362565643684,2,9.0
55.0,3,23.0,0.25274725274725274,12.77346037926021,3,23.0,0.8383654129238862,3,23.0
60.0,6,43.0,0.44329896907216493,11.74189629500604,6,43.0,0.7619878583253943,6,43.0
65.0,13,90.0,0.8490566037735849,10.885762325589074,13,90.0,0.6896633010603108,13,90.0
70.0,18,171.0,1.5545454545454545,10.220510186528323,18,171.0,0.6349373375089901,18,171.0
75.0,10,132.0,1.1478260869565218,10.170372060832278,10,182.0,0.6813136250829637,10,182.0
80.0,10,172.0,1.4453781512605042,11.081285407063211,10,178.0,0.7269748704587542,10,178.0
85.0,6,25.0,0.20161290322580644,10.870096536398396,6,101.0,0.7043263111766458,6,101.0
90.0,10,44.0,0.34108527131782945,10.555536532004282,10,65.0,0.6703686299660796,10,65.0
95.0,6,26.0,0.19696969696969696,11.10414189666245,6,65.0,0.7219719066599877,6,65.0
100.0,10,65.0,0.48507462686567165,11.456611079077453,10,80.0,0.7402448809096899,10,80.0
105.0,14,123.0,0.8978102189781022,11.20798705118318,14,138.0,0.6920203186127096,14,138.0
110.0,13,134.0,0.9640287769784173,10.698572236673561,13,170.0,0.638752794962495,13,170.0
115.0,17,174.0,1.2608695652173914,10.296706122573909,17,202.0,0.6308559839496413,17,202.0
120.0,12,199.0,1.4014084507042253,10.117898569891802,12,230.0,0.6583320988665249,12,230.0
125.0,15,270.0,1.9565217391304348,10.293456968682117,15,301.0,0.651498784276483,15,301.0
130.0,17,336.0,2.41726618705036,10.354863668912945,17,370.0,0.6531957430032256,17,370.0
135.0,15,393.0,2.7872340425531914,10.209333207847953,15,421.0,0.6624028664344398,15,421.0
140.0,16,459.0,3.232394366197183,9.719335631811964,16,479.0,0.6462121199679548,16,479.0
145.0,20,548.0,3.8865248226950353,9.826303044933487,20,567.0,0.6264441307741018,20,567.0
150.0,31,679.0,4.78169014084507,9.49814384053367,31,698.0,0.5732571585036648,31,698.0
155.0,26,374.0,2.6338028169014085,9.146603988707016,26,667.0,0.5698373014369916,26,667.0
160.0,24,234.0,1.570469798657718,9.206159801955508,24,472.0,0.5890819395341566,24,472.0
165.0,22,190.0,1.3194444444444444,8.756212134703098,22,527.0,0.5465187404976353,22,527.0
170.0,28,172.0,1.178082191780822,8.486416028051229,28,537.0,0.5195765857258835,28,537.0
175.0,35,261.0,1.8,7.959364164935104,35,602.0,0.4851616446760626,35,602.0
