step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.738649076240602,0,0.0,0.911989633998118,0,0.0
10.0,0,0.0,0.0,14.652428578376387,0,0.0,0.9484937052591518,0,0.0
15.0,0,0.0,0.0,14.346121285994558,0,0.0,0.9375322923671341,0,0.0
20.0,0,0.0,0.0,14.30135730831095,0,0.0,0.9315619682906365,0,0.0
25.0,0,0.0,0.0,13.962325586027179,0,0.0,0.921653433166232,0,0.0
30.0,2,5.0,0.09803921568627451,12.693990791322447,2,5.0,0.8595252165763265,2,5.0
35.0,6,26.0,0.4406779661016949,10.941310954440215,6,26.0,0.7545331972590806,6,26.0
40.0,1,6.0,0.09090909090909091,11.227954463633967,1,9.0,0.8227598670213815,1,9.0
45.0,7,25.0,0.3333333333333333,11.920018719606336,7,25.0,0.7912263810772807,7,25.0
50.0,8,64.0,0.7901234567901234,12.029996691612816,8,64.0,0.7706871932719818,8,64.0
55.0,5,49.0,0.5384615384615384,11.127979429936508,5,59.0,0.7379159933177474,5,59.0
60.0,15,101.0,1.041237113402062,10.548928625855112,15,101.0,0.6670813058463492,15,101.0
65.0,10,124.0,1.2277227722772277,10.317663977958949,10,137.0,0.6711473875036538,10,137.0
70.0,14,189.0,1.8,11.402155895904277,14,190.0,0.7179198478739516,14,190.0
75.0,12,78.0,0.7090909090909091,10.533370523363205,12,162.0,0.6400652546063132,12,162.0
80.0,17,142.0,1.2347826086956522,10.390412393738762,17,147.0,0.6369954635545606,17,147.0
85.0,22,242.0,2.0,10.242091045649438,22,242.0,0.6263507362077139,22,242.0
90.0,21,208.0,1.6774193548387097,9.99617937374497,21,268.0,0.6165243372134428,21,268.0
95.0,26,329.0,2.590551181102362,9.969210556068708,26,329.0,0.5968775294727263,26,329.0
100.0,13,68.0,0.5190839694656488,9.655889579193827,13,262.0,0.5910228592566493,13,262.0
105.0,7,57.0,0.42857142857142855,11.288767975338134,7,105.0,0.7130370352883991,7,105.0
110.0,11,103.0,0.7357142857142858,11.674609546079616,11,103.0,0.7236424251326191,11,103.0
115.0,10,83.0,0.5804195804195804,11.410995167295956,10,109.0,0.6892362557683752,10,109.0
120.0,18,146.0,0.9931972789115646,11.087968606359881,18,146.0,0.6424365252108555,18,146.0
125.0,13,182.0,1.2380952380952381,10.519029950338822,13,192.0,0.6445831311623754,13,192.0
130.0,17,260.0,1.7218543046357615,10.855328107974024,17,260.0,0.6417245835505302,17,260.0
135.0,21,348.0,2.3046357615894038,10.282978508968405,21,348.0,0.6088376462225432,21,348.0
140.0,30,477.0,3.222972972972973,9.439171651346202,30,477.0,0.5402315654754247,30,477.0
145.0,27,302.0,2.0268456375838926,9.214652430826638,27,462.0,0.5342457102825952,27,462.0
150.0,25,193.0,1.2953020134228188,9.39977499291124,24,462.0,0.5428551203752593,24,462.0
155.0,27,257.0,1.7724137931034483,9.152259928033754,27,570.0,0.5339221030438898,27,570.0
160.0,38,407.0,2.6601307189542482,8.874721635666903,38,733.0,0.515878485053478,38,733.0
165.0,46,622.0,4.174496644295302,7.862216942831182,46,948.0,0.43890790144770225,46,948.0
170.0,38,359.0,2.3933333333333335,7.588031335359037,38,956.0,0.4485845411191963,38,956.0
175.0,24,345.0,2.24025974025974,8.901070061871238,24,811.0,0.5286735748997826,24,811.0
180.0,29,252.0,1.5849056603773586,8.376327322155614,29,784.0,0.4766755256392276,29,784.0
185.0,38,288.0,1.8,8.414732521630734,38,771.0,0.4848555832423338,38,771.0
190.0,37,338.0,2.0609756097560976,8.326234811822987,37,930.0,0.47429666824575534,37,930.0
195.0,45,476.0,2.8502994011976046,8.085605077224397,45,1115.0,0.4355326214173107,45,1115.0
200.0,50,714.0,4.25,7.67994996240571,50,1357.0,0.4428948414820669,50,1357.0
205.0,58,989.0,5.886904761904762,6.885186017384778,58,1633.0,0.40970605575727137,58,1633.0
