step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.372739202263075,0,0.0,0.9299645020937033,0,0.0
10.0,0,0.0,0.0,13.110166358973933,0,0.0,0.9213035671680145,0,0.0
15.0,0,0.0,0.0,13.73127287490726,0,0.0,0.9435662373889491,0,0.0
20.0,0,0.0,0.0,14.161534249083807,0,0.0,0.9426970919308325,0,0.0
25.0,0,0.0,0.0,14.449868896739385,0,0.0,0.946236010540975,0,0.0
30.0,0,0.0,0.0,13.223429014362964,0,0.0,0.9036286759826956,0,0.0
35.0,2,10.0,0.1694915254237288,13.701879642479534,2,10.0,0.8876252846460572,2,10.0
40.0,2,20.0,0.30303030303030304,12.892852142460951,2,20.0,0.8475870764901808,2,20.0
45.0,8,48.0,0.64,11.979556427071955,8,48.0,0.7741216092433914,8,48.0
50.0,4,58.0,0.7160493827160493,11.305935495309397,4,62.0,0.7679259673775775,4,62.0
55.0,7,85.0,0.9659090909090909,11.6463027001108,7,86.0,0.7673296189124349,7,86.0
60.0,12,135.0,1.4673913043478262,11.429450141129772,12,136.0,0.7391499255968454,12,136.0
65.0,10,173.0,1.7474747474747474,10.932649781741851,10,180.0,0.7163711971814468,10,180.0
70.0,15,242.0,2.3047619047619046,10.778175562017077,15,243.0,0.7107272885804845,15,243.0
75.0,21,329.0,2.9909090909090907,9.599421321613347,21,331.0,0.625166731126709,21,331.0
80.0,26,447.0,3.9210526315789473,9.007045962413844,26,448.0,0.5895437481579833,26,448.0
85.0,31,588.0,4.819672131147541,8.272277984909453,31,589.0,0.5170888874351117,31,589.0
90.0,21,504.0,4.064516129032258,8.477755563915306,21,613.0,0.5654229737522716,21,613.0
95.0,19,584.0,4.5984251968503935,9.989811520026397,19,596.0,0.6590011238589651,19,596.0
100.0,20,684.0,5.142857142857143,10.588951943179815,20,685.0,0.6808183648204982,20,685.0
105.0,20,784.0,5.807407407407408,10.403727264582708,20,785.0,0.6762740722615364,20,785.0
110.0,16,351.0,2.4893617021276597,9.799489896318088,16,662.0,0.6119434099733668,16,662.0
115.0,18,126.0,0.9,9.64374476817547,18,333.0,0.578465890748528,18,333.0
120.0,19,98.0,0.6621621621621622,9.72305181080733,19,365.0,0.5783992564718947,19,365.0
125.0,26,213.0,1.4391891891891893,9.622482910988802,26,423.0,0.5633486080752796,26,423.0
130.0,32,319.0,2.140939597315436,9.103839397790823,32,475.0,0.5358642162773705,32,475.0
135.0,30,432.0,2.938775510204082,9.203727169057608,30,512.0,0.5611627395453324,30,512.0
140.0,17,121.0,0.8066666666666666,8.806926106305799,17,434.0,0.5192984648866663,17,434.0
145.0,18,134.0,0.8701298701298701,9.995491141262137,18,228.0,0.5934558881818764,18,228.0
150.0,21,235.0,1.4968152866242037,10.555244290856026,21,298.0,0.6156106564013318,21,298.0
155.0,25,355.0,2.2327044025157234,10.504346720350277,25,418.0,0.6015623261748614,25,418.0
160.0,22,257.0,1.5575757575757576,10.405606120697026,22,421.0,0.6212121405260344,22,421.0
165.0,16,266.0,1.6521739130434783,9.685448222353955,16,398.0,0.5572750417482462,16,398.0
170.0,28,380.0,2.375,9.423158769674856,28,459.0,0.5458755534193866,28,459.0
175.0,32,535.0,3.302469135802469,9.22559214963031,32,598.0,0.5452473131449236,32,598.0
180.0,20,489.0,3.0372670807453415,9.05587835399977,20,644.0,0.5682045065229057,20,644.0
185.0,23,588.0,3.652173913043478,9.737514750038224,23,656.0,0.605037647923648,23,656.0
190.0,22,674.0,4.186335403726708,9.8217870151277,22,749.0,0.5993322616586242,22,749.0
195.0,31,811.0,5.266233766233766,9.383906077855574,31,880.0,0.5538646358861211,31,880.0
200.0,27,897.0,5.862745098039215,9.275330541305888,27,985.0,0.5702248938140547,27,985.0
205.0,32,1046.0,6.705128205128205,9.812197924249876,32,1110.0,0.5903921351558625,32,1110.0
210.0,35,1214.0,7.883116883116883,9.257420743357429,35,1278.0,0.552399681554793,35,1278.0
215.0,39,1399.0,9.143790849673202,8.742464911321282,39,1463.0,0.5095805040245979,39,1463.0
220.0,42,1604.0,10.415584415584416,8.66313214888586,42,1668.0,0.48755705674274047,42,1668.0
