step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,T1_stopped,T1_accumulated_waiting_time,T1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.679273960226551,0,0.0,0.9270909091398057,0,0.0
10.0,0,0.0,0.0,15.292485730415375,0,0.0,0.9413135262902406,0,0.0
15.0,0,0.0,0.0,15.16315557994136,0,0.0,0.9571268269466952,0,0.0
20.0,0,0.0,0.0,14.794210035351618,0,0.0,0.9435357874323119,0,0.0
25.0,0,0.0,0.0,13.974133927050257,0,0.0,0.9015417933901771,0,0.0
30.0,3,11.0,0.21568627450980393,13.326700369673274,3,11.0,0.8575575138671855,3,11.0
35.0,7,38.0,0.6440677966101694,11.490117908528967,7,38.0,0.7404915033354377,7,38.0
40.0,13,96.0,1.4545454545454546,10.623694126639311,13,96.0,0.6922244574231434,13,96.0
45.0,2,12.0,0.16,11.106602421708528,2,47.0,0.7575879983800996,2,47.0
50.0,5,30.0,0.37037037037037035,12.274809701905443,5,30.0,0.7839063208266474,5,30.0
55.0,7,36.0,0.3956043956043956,11.782700430920183,7,50.0,0.7226652822023121,7,50.0
60.0,12,93.0,0.9587628865979382,11.298465278840672,12,93.0,0.6810794705746092,12,93.0
65.0,17,170.0,1.6346153846153846,10.944160785492347,17,170.0,0.6703117309590082,17,170.0
70.0,15,136.0,1.2477064220183487,10.02323222673688,15,187.0,0.6126831727479682,15,187.0
75.0,24,233.0,2.099099099099099,9.763166409900773,24,239.0,0.6118417143132631,24,239.0
80.0,27,356.0,3.1785714285714284,9.428449151174078,27,360.0,0.621091940814321,27,360.0
85.0,30,495.0,4.230769230769231,8.828648450167341,30,499.0,0.5603912309697788,30,499.0
90.0,14,126.0,1.0413223140495869,9.209806167384151,14,384.0,0.6132347225969067,14,384.0
95.0,6,45.0,0.3515625,10.891537661591094,6,144.0,0.7277525314694593,6,144.0
100.0,9,25.0,0.18796992481203006,10.789046796475965,9,111.0,0.6989940642597254,9,111.0
105.0,25,117.0,0.8478260869565217,10.059743773419637,25,189.0,0.6083939999740174,25,189.0
110.0,28,202.0,1.4326241134751774,9.492579141504626,28,297.0,0.5879672242340861,28,297.0
115.0,29,317.0,2.201388888888889,9.28081252335822,29,406.0,0.5734004255287488,29,406.0
120.0,17,141.0,0.9724137931034482,9.239120756102418,17,379.0,0.6046040134690434,17,379.0
125.0,12,81.0,0.5547945205479452,9.900174904414838,12,205.0,0.6683218471712978,12,205.0
130.0,15,91.0,0.610738255033557,9.658741662921937,15,223.0,0.6218521970612546,15,223.0
135.0,23,183.0,1.196078431372549,9.876281779471624,23,286.0,0.6270893766048559,23,286.0
140.0,31,319.0,2.0580645161290323,9.628198516384858,31,421.0,0.590481436489106,31,421.0
145.0,20,267.0,1.7006369426751593,9.54506167630947,20,430.0,0.6098749573766961,20,430.0
150.0,14,246.0,1.5471698113207548,10.361750944287909,14,349.0,0.6545994497437284,14,349.0
155.0,18,296.0,1.8385093167701863,9.736802929885556,18,396.0,0.5790043750282072,18,396.0
160.0,28,411.0,2.5849056603773586,9.167978788168497,27,499.0,0.5577255358304594,27,499.0
165.0,30,242.0,1.5714285714285714,8.498915110765207,29,542.0,0.5184895006458691,29,542.0
170.0,38,305.0,1.955128205128205,7.9904572737252995,36,655.0,0.4668421910383872,36,655.0
175.0,41,449.0,2.9155844155844157,7.7763384812568175,41,836.0,0.4553627839094197,41,836.0
180.0,57,689.0,4.445161290322581,7.454828766326777,56,1055.0,0.4263944826382855,56,1055.0
185.0,44,472.0,3.1052631578947367,6.947924197235753,44,1132.0,0.4132308845861862,44,1132.0
